User ID,Talk ID,Rating,View Count,Comments
1,1840,4,5,Moved to tears by the emotional rollercoaster of this talk!
1,2282,5,8,"""A symphony of thought-provoking ideas. Superb!"""
1,2370,2,2,"""Somewhat confusing and hard to follow, to be honest."""
2,8227,4,6,"""A true gem! This talk was both informative and entertaining."""
2,1556,2,1,"""The talk's transitions between topics were a bit rough."""
2,43933,2,1,"Quite boring and unengaging, to be honest. I expected more!"
3,1561,2,1,"Lacked a clear and coherent structure, making it hard to follow..."
3,1522,2,2,"Lacked a clear and coherent structure, making it hard to follow."
3,249,2,1,"""The talk's visual aids were a bit lackluster."""
3,358,4,5,"""An unforgettable and life-affirming experience."""
4,519,3,4,"""The speaker's delivery was a bit hesitant."""
4,2728,2,2,"""I felt the talk lacked the excitement and energy I was expecting."""
4,1131,3,3,"A true game-changer in its field, pushing the boundaries of knowledge."
4,2414,1,2,"""The talk was somewhat monotonous and unengaging."""
4,46384,4,6,"Vibrant and captivating from start to finish, it held my attention throughout!"
4,17713,2,2,"""The speaker's humor didn't really land for me."""
4,60063,3,3,"""The speaker's tone was a bit too hesitant."""
4,1684,5,5,"""Wow, just wow! This talk really blew me away  amazing stuff!"""
4,24060,3,4,"A symphony of ideas and inspiration, harmonizing different elements."
4,30527,2,1,"""The talk's pacing was a bit slow."""
5,2240,5,6,"The speaker's enthusiasm was infectious, making learning fun."
5,46593,3,2,"""The speaker's pacing was too fast, hard to keep up."""
5,294,3,2,"Missed the mark in terms of originality, treading familiar ground."
5,1452,5,8,"""Fascinating topic - I learned so much!"""
5,498,5,7,"""An inspiring and beautifully articulated talk."""
5,125,5,8,"A thought-provoking and insightful presentation, making me ponder."
5,39512,5,8,"""A brilliant and captivating presentation."""
5,1596,1,1,"The speaker lacked energy and engagement, making me yawn."
5,2013,1,2,"""I didn't find it very relatable, unfortunately."""
6,17698,3,2,"A blend of humor, facts, and inspiration, balancing light and depth..."
6,1827,4,7,"""A captivating and emotionally powerful presentation."""
6,1443,2,1,"The talk lacked a clear takeaway, needing a stronger message..."
6,2373,2,2,Somewhat confusing and disjointed... I had trouble following the flow...
6,42819,3,2,"A mind-bending exploration of possibilities, expanding horizons..."
6,2414,4,5,"""An unforgettable and emotionally powerful experience."""
6,29968,2,1,"The presentation lacked focus, drifting between topics."
6,1939,3,4,"""Well... it was okay, I guess? Not really what I was expecting."""
6,1338,2,1,"""Somewhat confusing and hard to follow, to be honest."""
6,26076,5,7,Energizing and motivating - just what I needed to kickstart my day!
7,1253,5,7,"Not as impactful as I had hoped, I wanted a more profound impact..."
7,646,1,1,"""The speaker's analogies were a bit of a stretch."""
7,6602,1,1,"""The speaker's humor was a bit too understated."""
7,49067,4,6,"""An enlightening and enriching experience."""
7,2385,5,5,"""A stunning and highly thought-provoking presentation."""
7,5458,2,2,"""Didn't quite hit the mark for me, unfortunately."""
7,36217,1,1,"The presentation felt rushed, and I couldn't absorb everything..."
7,1373,5,8,"""Fascinating topic - I learned so much!"""
8,2155,4,7,"""A captivating and highly insightful experience."""
8,83,1,1,"Too focused on anecdotes, lacked data to support the claims..."
8,1995,5,5,"""A phenomenal talk! So insightful and thought-provoking."""
8,2231,2,1,"""The talk lacked the depth and detail I was hoping for."""
9,2657,3,2,"A revolutionary perspective on the topic, changing the game."
9,2505,1,2,"""The talk's transitions were a bit abrupt."""
9,2374,3,4,"""The speaker's style was a bit too formal."""
10,49446,3,4,"The talk felt like a journey of discovery, exploring new territories..."
10,54827,1,2,"""The talk was repetitive and lacked new insights."""
10,2508,5,8,"Chock-full of intriguing concepts and theories, sparking curiosity..."
10,24048,4,5,"Truly mind-expanding and intellectually stimulating, stretching my mind."
10,23479,4,5,"A thought-provoking and insightful presentation, offering deep thoughts..."
10,31122,5,5,"Energizing and motivating, just what I needed to hear!"
10,215,1,1,"Quite boring and unengaging, to be honest. I expected more!"
10,1754,4,6,"""This talk was a revelation  so many great insights and ideas."""
10,2811,4,5,"""An unforgettable and intellectually stimulating experience."""
11,1111,3,3,"I struggled to find relevance in the topic, it seemed unrelated..."
12,44266,1,2,"I couldn't relate to the speaker's perspective, felt disconnected..."
13,1922,4,7,"Beautifully delivered with great passion, the speaker's enthusiasm was contagious!!!"
13,421,4,5,"""Brilliantly executed! The speaker was fantastic."""
13,20044,5,7,"""What a wonderful presentation! The speaker was brilliant."""
13,468,5,7,"The speaker's energy was contagious, lifting my spirits."
13,2869,3,3,A wealth of practical advice that I can apply in my life.
13,1430,3,2,"I was left wanting more substance, seeking more depth..."
13,14615,2,1,"""The talk was repetitive and lacked new insights."""
13,1465,5,8,Incredibly inspiring and thought-provoking! This talk has left me with so much to ponder...
13,5498,1,1,"Didn't live up to my expectations, unfortunately. I was hoping for more..."
14,16960,5,8,Brilliantly articulated and well-presented. I was hanging on to every word!!!
14,1824,3,3,"A journey of self-discovery and enlightenment, finding inner truths."
14,42946,1,1,"Found it underwhelming and dry, lacking that wow factor."
14,1131,3,4,"Could have been more in-depth, as it only scratched the surface..."
14,42604,2,2,"""The talk's use of technology was a bit clunky."""
14,139,3,2,"""It was a bit too slow-paced for my liking."""
14,1905,4,5,"""I think it was a bit overhyped? It was good, but not great."""
14,2642,3,3,"""The talk's structure was a bit too straightforward."""
14,2868,3,4,"An exhilarating journey through the subject, I was on the edge of my seat..."
14,2494,4,6,"A transformative experience, worth every moment of my time."
15,946,5,7,"A tapestry of rich narratives and ideas, weaving a compelling story..."
15,21972,2,1,"""Kind of a letdown, to be honest. I expected something more."""
15,53583,2,1,"""The speaker's use of metaphors was a bit confusing."""
15,951,5,6,"""The speaker's storytelling ability made the talk incredibly engaging."""
16,23877,3,4,A captivating narrative that held my interest from start to finish.
16,326,4,8,"""An unforgettable and intellectually vibrant experience."""
16,24166,2,2,"""The speaker's humor didn't really land for me."""
16,648,5,8,"""The speaker's storytelling ability made the talk incredibly engaging."""
16,2029,4,8,"An exhilarating journey through the subject, I was captivated..."
16,2320,3,4,"""The speaker's tone was a bit too soft."""
17,2304,3,3,"""The speaker's tone was a bit too somber."""
17,1633,5,7,"""Stunning! The speaker's passion really shone through."""
17,2437,2,1,"""Lacked the depth I was hoping for, somewhat superficial."""
17,26918,3,2,"""An electrifying performance! The speaker was on fire."""
17,937,4,6,"A fascinating deep dive into the topic, thoroughly explored..."
17,2157,4,5,"""Truly a breath of fresh air! Exceptionally well done."""
17,1263,5,6,"""A stunning and highly informative presentation."""
17,36214,3,3,"A creative and artistic approach to the topic, very imaginative..."
17,2140,2,2,"Found it underwhelming and dry, lacking that wow factor."
18,2598,1,2,"I couldn't connect with the speaker, feeling a disconnect."
19,996,4,6,"The speaker's expertise was evident, demonstrating deep knowledge..."
19,2823,2,2,"""It was kind of okay? I don't know, I wasn't super impressed."""
19,9033,3,3,"""The talk's content was a bit too niche for a general audience."""
19,56009,5,5,"""Unparalleled in its depth and clarity. Simply superb!"""
19,2443,5,5,"""An emotionally charged and powerful talk."""
19,2385,1,1,"""The speaker's arguments weren't very compelling."""
19,1876,1,2,"The argumentation was weak, needed stronger arguments..."
